"구분","","","","외환위기","","","","금융위기","","","","최근위기","","",""
"","","","","1997
년","1998
년","1999
년","2000
년","2007
년","2008
년","2009
년","2010
년","2021
년","2022
년","2023
년","2024
년
월10"
"주택가격
(%)","한국
부동
산원","매매가격","주택","","","","","5.81","5.86","1.49","1.46","9.93","△
4.68","△
3.56","0.20"
"","","","아파트","","","","","4.55","4.93","1.52","1.90","14.07","△
7.56","△
4.83","0.19"
"","","전세가격","주택","","","","","3.89","3.12","3.33","6.59","6.51","△
5.56","△
5.07","1.16"
"","","","아파트","","","","","2.76","1.79","4.22","8.43","9.55","△
8.69","△
6.95","1.78"
"","","월세가격","주택","","","","","","","","","2.63","0.96","△
0.83","0.98"
"","","","아파트","","","","","","","","","3.89","1.25","△
1.11","1.27"
"","","실거래가격 매매(
)","아파트","","","","","4.66","△
4.05","9.42","1.67","18.36","△
17.05","3.64","2.37*"
"","","실거래가격 전세(
)","아파트","","","","","","","","","7.16","△
9.36","4.35","3.67*"
"","KB","매매가격","주택","","1.97　 12.37","3.42","0.43","3.14","3.11","1.46","1.89","14.97","△
1.83","△
4.64","*
△
0.07"
"","","","아파트","","4.73　 13.56","8.54","1.38","2.14","2.30","1.58","2.53","20.18","△
3.12","△
6.72","*
△
0.46"
"","","전세가격","주택","","0.84　 18.44","16.78","11.14","2.55","1.68","3.39","7.12","9.38","△
2.46","△
5.41","1.34*"
"","","","아파트","","1.63　 20.18","26.73","12.18","1.88","0.75","4.55","8.85","12.01","△
3.84","△
7.76","2.06*"
"주택거래
(
만  건
)","매매거래","","주택","","","","","86.8","89.4","87.0","80.0","101.5","50.9","55.5","54.8"
"","","","아파트","","","","","54.0","58.3","63.2","58.1","66.9","29.9","41.2","42.1"
"","분양권거래","","주택","","","","","18.1","19.9","18.0","16.3","6.5","3.2","5.1","4.5"
"","","","아파트","","","","","17.7","19.0","17.5","15.7","6.4","3.1","5.1","4.5"
"주택공급
(
만  호
)","국토
교통
부","인허가","주택","59.6","30.6","40.5","43.3","55.6","37.1","38.2","38.7","57.8","52.2","42.9","24.5"
"","","","아파트","","","","","47.6","26.3","29.7","27.7","42.3","42.8","37.8","21.4"
"","","착공","주택","","","","","","","","","58.4","38.3","24.2","21.8"
"","","","아파트","","","","","","","","","47.3","29.9","20.0","19.0"
"","","분양","공동주택","","","","","","","","","33.7","28.8","19.2","18.2"
"","","준공","주택","","","","","","","","17.2","43.1","41.4","43.6","36.2"
"","","","아파트","","","","","","","","12.9","33.2","32.3","37.0","32.6"
"","R114","분양","아파트","","","","20.1","28.7","21.9","22.7","17.3","38.7","35.9","21.2","24.3"
"","","입주","아파트","42.6","39.4","36.8","32.1","31.6","32.8","28.7","30.2","29.2","33.6","36.6","36.4"
"미분양 호(
)","","","","","","","","112,254","165,599","123,297","88,706","17,710","68,107","62,489","65,836"
