"구            분","","","2018
년","2019
년","2020
년","2021
년","2022
년","2023
년","2024
년","2025
년"
"장래
인구추계
(22
년  기준
)","총인구수","","51,585","51,765","51,836","51,770","51,673","51,713","51,751","51,685"
"","","증감(
)","223","180","71","67△","97△","40","38","67△"
"","","30
세도달인구","644","662","677","683","740","753","743","735"
"","총가구수
증감(
)","","19,876","20,220","20,731","21,273","21,664","21,971","22,180","22,389"
"","","","217","344","510","542","391","307","209","209"
"인구
총조사","총인구수","","51,630","51,779","51,829","51,738","51,692","51,775","",""
"","","증감(
)","207","150","50","91△","46△","82","",""
"","","30
세도달인구","648","662","679","704","748","746","",""
"","외국인수
　 증감
)","","1652","1779","1696","1650","1752","1935","",""
"","","","172","127","83△","46△","102","183","",""
"","총가구수
증감(
)","","20,500","20,891","21,485","22,023","22,383","22,728","",""
"","","","332","392","593","538","360","345","",""
"","일반가구수
　
증감(
)","","19,979","20,343","20,927","21,448","21,774","22,073","",""
"","","","305","364","584","522","325","300","",""
"","외국인가구
　 증감
)","","503","531","542","557","592","637","",""
"","","","25","28","10","15","36","45","",""
"주민등록
인구현황","총인구수","","51,826","51,850","51,829","51,639","51,439","51,325","51,227",""
"","","증감(
)","48","24","21△","△
190","△
200","△
114","99△",""
"","","30
세도달인구","626","632","641","702","723","708","711",""
"","총세대수
　
증감(
)","","22,043","22,481","23,093","23,473","23,706","23,915","24,110",""
"","","","410","439","612","380","233","209","209",""
"출입국자및
체류외국인
통계","등록외국인수
　
증감(
)","","1,247","1,272","1,146","1,094","1,190","1,349","",""
"","","","75","25","△
126","52△","96","159","",""
"","체류외국인
　
　
증감(
)","","2,368","2,525","2,036","1,957","2,246","2,508","",""
"","","","187","157","△
489","79△","289","262","",""
"신규추정","주민등록인구
+
등록외국인","","53,073","53,122","52,975","52,733","52,629","52,674","",""
"","","가구전환","21,073","21,433","21,960","22,446","227,89","23,123","",""
"","","증감(
)","306","360","527","487","342","334","",""
