"구분","","2018
년","2019
년","2020
년","2021
년","2022
년","2023
년","2024
년"
"장래인구추계","","51,585","51,765","51,836","51,770","51,673","51,713","51,751"
"","증감(
)","223","180","71","67△","97△","40","38"
"","30
세 도달인구","644","662","677","683","740","753","743"
"(
인총 인구","","51,630","51,779","51,829","51,738","51,692","51,775","-"
"","증감(
)","207","150","50","91△","46△","82","-"
"","30
세 도달인구","648","662","679","704","748","746","-"
"총가구
증감(
)","","20,500","20,891","21,485","22,023","22,383","22,728","-"
"","","332","392","593","538","360","345","-"
"일반가구","","19,979","20,343","20,927","21,448","21,774","22,073","-"
"","증감(
)","305","364","584","522","325","300","-"
"","1
인가구","5,849","6,148","6,643","7,166","7,502","7,829","-"
"","2
인가구","5,446","5,663","5,865","6,077","6,261","6,346","-"
"","3
인가구","4,204","4,218","4,201","4,170","4,185","4,195","-"
"","4
인이상가구","4,481","4,315","4,218","4,036","3,826","3,703","-"
"외국인가구
증감(
)","","503","531","542","557","592","637","-"
"","","25","28","10","15","36","45","-"
"(
주민등록
)
총세대수
증감(
)","","22,043","22,481","23,093","23,473","23,706","23,915","(11
월  기준
) 
24,110"
"","","410","439","612","380","233","209","195"
