"구      분","","2022
년","2023
년","2024
년","2025
년","2022~2025
누계"
"전국","수요①
공급②","496.9
407.8","448.2
276.7","444.5
316.5","427.2
318.8","1,816.8
1,319.8"
"","수급차(
② ①
)","△
89.1","△
171.5","△
128.0","△
108.4","△
497.0"
"","수요 누계(
‘① )
공급 누계(
‘② )","496.9
407.8","945.1 
684.5","1,389.6 
1,001.0","1,816.8 
1,319.8",""
"","수급지수
(
② ①
’*100)","82.1","72.4","72.0","72.6",""
"수도권","수요①
공급②","299.8
198.8","278.0
159.0","276.0
183.8","267.5
186.5","1,121.3
728.1"
"","수급차(
② ①
)","△
101.0","△
119.0","△
92.2","△
81.0","△
393.2"
"","수요 누계(
‘① )
공급 누계(
‘② )","299.8
198.8","577.8 
357.8","853.8 
541.6","1121.3 
728.1",""
"","수급지수
(
② ①
’*100)","66.3","61.9","63.4","64.9",""
"지방","수요①
공급②","197.1
209.0","170.2
117.7","168.5
132.6","159.7
132.3","695.5
591.7"
"","수급차(
② ①
)","11.9","△
52.5","△
35.9","△
27.4","△
103.8"
"","수요 누계(
‘① )
공급 누계(
‘② )","197.1
209.0","367.3 
326.7","535.8 
459.4","695.5 
591.7",""
"","수급지수
(
② ①
’*100)","106.0","88.9","85.7","85.1",""
