"구분","매매거래량
(1~10
월
)","","매매거래량 연간(
)(A)","","주택재고(B)","거래율(A/B)","비고"
"","거래량","증감률","거래량","증감률","","",""
"2006
년","771","-","1,082","-","-","-",""
"2007
년","714","△
7.4%","868","△
19.8%","","","금융위기"
"2008
년","810","13.6%","894","3.0%","","",""
"2009
년","718","△
11.4%","870","△
2.6%","","",""
"2010
년","617","△
14.1%","800","△
8.1%","14,677","5.5%",""
"2011
년","797","29.1%","981","22.7%","","",""
"2012
년","555","△
30.4%","735","△
25.1%","","",""
"2013
년","674","21.4%","852","15.8%","","",""
"2014
년","823","22.2%","1,005","18.0%","","",""
"2015
년","1,008","22.5%","1,194","18.8%","16,367","7.3%",""
"2016
년","862","△
14.5%","1,053","△
11.8%","16,692","6.3%",""
"2017
년","800","△
7.1%","947","△
10.1%","17,123","5.5%",""
"2018
년","736","△
8.1%","856","△
9.6%","17,633","4.9%",""
"2019
년","594","△
19.2%","805","△
6.0%","18,127","4.4%",""
"2020
년","1,022","72.0%","1,279","58.9%","18,526","6.9%",""
"2021
년","894","△
12.5%","1,015","△
20.6%","18,812","5.4%","현재위기"
"2022
년","450","△
49.7%","509","△
49.9%","19,205","2.7%",""
"2023
년","472","4.8%","555","9.0%","19,546","2.8%",""
"2024
년","548","16.1%","628e)","13.2%e)","19,886e)","3.1%e)",""
"2025
년","","","627e)","e)
△
0.2%","20,226e)","3.1%e)",""
