"구분","","","","외환위기","","","","금융위기","","","","최근위기","","",""
"","","","","1997
년","1998
년","1999
년","2000
년","2007
년","2008
년","2009
년","2010
년","2021
년","2022
년","2023
년","2024
년
월10"
"GDP
성장률 실질 원자료 전년동기비
)(%)","","","","6.2","-5.1","11.5","9.1","5.8","3.0","0.8","7.0","4.6","2.7","1.4","1.5"
"소비자물가(%)","","","","4.4","7.5","0.8","2.3","2.5","4.7","2.8","2.9","2.5","5.1","3.6","1.3"
"환율 원 달러
)","","","","951.1","1,398.9","1,189.5","1,130.6","929.2","1,102.6","1,276.4","1,156.3","1,144.4","1,292.0","1305.4","1432.7*"
"통화
/
금융","기준금리(%)","","","","","4.75","5.25","5.00","3.00","2.00","2.50","1.00","3.25","3.50","3.00"
"","신규
취급액
기준
(%)","대출금리","","11.83","15.18","9.40","8.55","6.55","7.17","5.65","5.51","2.88","4.29","5.19","4.67"
"","","기업
대출","기업대출","11.75","15.20","8.91","8.18","6.60","7.17","5.65","5.56","2.81","4.22","5.28","4.71"
"","","","대기업","12.19","16.13","9.49","8.75","6.09","6.79","5.61","5.25","2.57","3.97","5.21","4.79"
"","","","중소기업","11.63","14.89","8.75","7.95","6.72","7.31","5.65","5.68","2.98","4.44","5.34","4.64"
"","","가계
대출","가계대출","12.30","15.21","10.85","9.88","6.48","7.19","5.73","5.38","3.10","4.60","4.96","4.55"
"","","","주담대","","","","","6.34","7.00","5.54","5.00","2.94","4.24","4.37","4.05"
"","","","집단대출","","","","","5.88","6.48","5.01","4.83","3.26","4.54","4.33","3.88"
"","잔액
기준
(%)","대출금리","","","","","","7.16","7.50","5.86","5.70","3.04","4.92","5.21","4.79"
"","","기업
대출","기업대출","","","","","7.22","7.69","6.24","6.02","3.07","5.13","5.31","4.85"
"","","","대기업","","","","","6.57","7.08","5.72","5.57","2.89","4.85","5.13","4.82"
"","","","중소기업","","","","","7.31","7.81","6.33","6.12","3.11","5.19","5.36","4.86"
"","","가계
대출","가계대출","","","","","7.13","7.31","5.43","5.35","3.01","4.66","5.08","4.71"
"","","","주담대","","","","","","","4.85","4.71","2.77","3.83","4.32","4.19"
"","","","집단대출","","","","","","","4.52","4.84","3.15","4.82","4.52","3.94"
"","가계
대출
(
조  원
)","잔액","","","","","","630.1","683.6","734.3","793.8","1,757.1","1,749.8","1,767.3","*
1795.8"
"","","기관별 
잔액","예금취급기관","","","","","474.1","515.3","549.8","593.5","1,261.5","1,248.0","1,233.9","*
1263.4"
"","","","예금은행","","","","","363.7","388.6","409.5","431.5","910.1","902.6","916.0","*
959.2"
"","","","비은행기관","","","","","110.4","126.7","140.3","162.1","351.4","345.4","317.9","*
304.3"
"","","","기타금융기관  등","","","","","156.0","168.3","184.5","200.2","495.6","501.8","533.4","*
532.4"
"","유동성
(
조  원
)","M1","","118.0","113.7","147.3","183.3","312.8","307.3","357.3","399.4","1,281.6","1,333.0","1192.8","1,224.7*"
"","","M2","","482.4","596.2","676.7","691.4","1,197.1","1,367.7","1,508.6","1,639.7","3,430.4","3,722.8","3830.6","4070,7*"
