"구분","","","","박근혜  대통령  탄핵  당시","","","","","","","","","",""
"","","","","2016/10","2016/11","2016/12","2017/1","2017/2","2017/3","2017/4","2017/5","2017/6","2017/7","2017/8"
"주택가격
(%)","한국
부동산
원","매매가격","주택","0.17","0.15","0.07","0.02","0.01","0.06","0.10","0.14","0.21","0.18","0.25"
"","","","아파트","0.23","0.22","0.05","0.01","-0.01","0.03","0.06","0.10","0.22","0.16","0.23"
"","","전세가격","주택","0.15","0.15","0.08","0.03","0.03","0.07","0.06","0.07","0.08","0.05","0.07"
"","","","아파트","0.21","0.23","0.10","0.04","0.04","0.09","0.06","0.06","0.09","0.04","0.08"
"","","월세가격","주택","-0.03","0.01","-0.02","-0.02","-0.02","-0.01","-0.03","-0.04","-0.02","-0.02","-0.04"
"","","","아파트","-0.02","0.01","-0.03","-0.02","-0.02","-0.02","-0.05","-0.06","-0.04","-0.04","-0.05"
"","","실거래가격 매매(
)","아파트","0.71","0.10","-0.30","-0.30","0.20","0.20","-0.10","0.20","0.61","0.70","0.10"
"","","실거래가격 전세(
)","아파트","0.81","-0.30","0.30","-0.40","0.10","0.10","-0.10","0.10","0.30","0.00","0.60"
"","KB","매매가격","주택","0.24","0.25","0.07","0.02","0.01","0.03","0.04","0.05","0.17","0.23","0.24"
"","","","아파트","1.80","1.62","1.50","1.44","1.36","1.36","1.37","1.34","1.48","1.60","1.75"
"","","전세가격","주택","0.18","0.19","0.07","0.04","0.02","0.02","0.02","0.03","0.07","0.08","0.06"
"","","","아파트","2.35","2.00","1.77","1.59","1.40","1.25","1.13","1.02","0.99","0.95","0.91"
"주택거래
건(
)","매매거래","","주택","10.9","10.3","8.9","5.9","6.3","7.7","7.5","8.5","9.8","9.8","9.7"
"","","","아파트","7.4","6.9","5.8","3.8","4.0","4.8","4.7","5.3","6.4","6.6","6.4"
"","분양권거래","","주택","1.8","1.7","1.3","1.1","1.1","1.2","1.4","1.7","2.0","1.8","1.8"
"","","","아파트","1.8","1.6","1.3","1.1","1.1","1.2","1.4","1.7","2.0","1.7","1.8"
"주택공급
호(
)","국토
교통부","인허가","주택","5.2","6.5","8.9","4.0","5.0","5.2","4.4","5.4","6.0","5.0","4.9"
"","","","아파트","3.6","4.7","6.9","2.7","3.7","3.5","2.5","3.7","4.3","3.4","3.3"
"","","착공","주택","5.5","6.8","8.4","2.7","3.6","3.7","3.4","3.5","5.1","4.0","5.2"
"","","","아파트","3.9","5.2","6.7","1.3","2.3","2.1","1.7","2.1","3.7","2.6","3.7"
"","","분양","공동주택","6.0","3.8","4.9","0.3","1.4","3.5","1.4","2.7","5.2","2.4","2.4"
"","","준공","주택","4.1","4.3","6.5","3.2","4.1","3.3","5.0","3.7","5.1","5.9","5.2"
"","","","아파트","2.7","2.6","4.6","1.6","2.7","1.9","3.5","2.3","3.5","4.3","3.5"
"","R114","분양","아파트","7.6","4.2","5.4","1.3","1.0","3.0","1.9","2.5","3.9","3.5","2.3"
"","","입주","아파트","2.4","3.8","3.4","2.6","3.7","1.6","2.6","2.2","3.1","4.2","4.1"
"미분양 호(
)","","","","5.8","5.8","5.6","5.9","6.1","6.2","6.0","5.7","5.7","5.4","5.3"
